Jornada,Minuto,jugador,Tipo de Gol
18,69,"BELTRAN ALVAREZ, SERGIO",Normal
18,90,"RIERA MARTÍNEZ, FERRAN",Normal
18,35,"CRESPI BARRERA, LEONARDO",Penalti
18,39,"CRESPI LUCENA, JUAN MIQUEL",Normal
18,89,"RIUTORT GONZALEZ, JUAN FRANCISCO",Normal
18,53,"LAKHAL ZEROUALE, SAAD",Normal
18,81,"FERNÁNDEZ CASSO, ALBERTO",Normal
18,9,"SIDIROPOULOS, ANASTASIOS",Normal
18,48,"D'VAZ AFONSO, SPENCER GARCIA",Normal
10,8,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
10,38,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
10,71,"RODRIGUEZ MONGELOS, GAEL PAU",Normal
10,82,"SINTES MELERO, ALVARO",Normal
10,90,"MARTI RODRIGUEZ, IVAN",Normal
10,1,"FERNANDEZ REY, RAUL",Normal
10,19,"BERNASCONI, SANTINO",Normal
10,58,"BERNASCONI, SANTINO",Normal
10,62,"PALAU ORDINAS, MIQUEL",Normal
10,65,"LOMAS SERVERA, PAU",Normal
10,79,"VICH FORTEZA, LLUC",Normal
10,95,"OKROGLIC SOMOZA, LUKA",Normal
10,20,"CASAUS SANCHEZ, JOSE IGNACIO",Normal
10,79,"GAYUBAS GONZALEZ, LUIS MIGUEL",Normal
10,6,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
10,12,"AVILÉS MAESTRE, JOEL",Normal
10,25,"WHYTE ODUNZE, MICHAEL IKENNA",Normal
10,37,"HORRACH LLABRES, GERARDO",Normal
10,60,"WHYTE ODUNZE, MICHAEL IKENNA",Penalti
10,25,"MASCARÓ SERVERA, JUAN",Normal
10,73,"TRIAY SASTRE, ADRIA",Normal
10,88,"TRIAY SASTRE, ADRIA",Normal
10,37,"ADROVER GARRIDO, ALBERT",Normal
10,48,"SUÁREZ SERRA, ALEX",Normal
10,56,"SALAMANCA GALERA, AITOR",Normal
19,22,"FERNANDEZ REY, RAUL",Normal
19,55,"FEBRER VILLALONGA, ALBERT",Normal
19,65,"CANTALAPIEDRA LOBATO, IKER",Normal
19,2,"DE OLIVEIRA MESSIAS, EMMANUEL",Normal
