jornada,equipo_local,equipo_visitante,cod_acta,link_acta,acta_extraida
20,"ANDRATX ""A""","U D IBIZA ""A""",670693.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670693&cod_acta=670693,Si
20,"MANACOR ""A""",UD MAHON,670694.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670694&cod_acta=670694,Si
21,UD MAHON,"PENYA INDEPENDENT ""A""",670695.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670695&cod_acta=670695,Si
21,PALMA F.C.,"FERRERIES ""A""",670696.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670696&cod_acta=670696,Si
21,"SAN FRANCISCO ""B""","PENYA ARRABAL ""A""",670697.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670697&cod_acta=670697,Si
21,"SANTA CATALINA ATº ""A""","SD LA SALLE ""A""",670698.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670698&cod_acta=670698,Si
21,"PLA DE NA TESA ""A""","MALLORCA ""B""",670699.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670699&cod_acta=670699,Si
21,"CONSTANCIA ""A""","POBLENSE ""A""",670700.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670700&cod_acta=670700,Si
21,"PLATGES DE CALVIA ""A""",SP. ATº CIUTAT DE PALMA,670701.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670701&cod_acta=670701,Si
21,"ANDRATX ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670549.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670549&cod_acta=670549,Si
21,"U D IBIZA ""A""","MANACOR ""A""",670703.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670703&cod_acta=670703,Si
22,"FERRERIES ""A""","PENYA INDEPENDENT ""A""",670704.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670704&cod_acta=670704,Si
22,"PENYA ARRABAL ""A""",PALMA F.C.,670705.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670705&cod_acta=670705,Si
22,"SD LA SALLE ""A""","SAN FRANCISCO ""B""",670706.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670706&cod_acta=670706,Si
22,"MALLORCA ""B""","SANTA CATALINA ATº ""A""",670707.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670707&cod_acta=670707,Si
22,"POBLENSE ""A""","PLA DE NA TESA ""A""",670708.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670708&cod_acta=670708,Si
22,SP. ATº CIUTAT DE PALMA,"CONSTANCIA ""A""",670709.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670709&cod_acta=670709,Si
22,"ANDRATX ""A""","PLATGES DE CALVIA ""A""",723163.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=723163&cod_acta=723163,Si
22,"MANACOR ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670711.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670711&cod_acta=670711,Si
22,"U D IBIZA ""A""",UD MAHON,670712.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670712&cod_acta=670712,Si
23,UD MAHON,"FERRERIES ""A""",670713.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670713&cod_acta=670713,Si
23,"PENYA INDEPENDENT ""A""","PENYA ARRABAL ""A""",,,Si
23,PALMA F.C.,"SD LA SALLE ""A""",670715.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670715&cod_acta=670715,Si
23,"SAN FRANCISCO ""B""","MALLORCA ""B""",670716.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670716&cod_acta=670716,Si
23,"SANTA CATALINA ATº ""A""","POBLENSE ""A""",670717.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670717&cod_acta=670717,Si
23,"PLA DE NA TESA ""A""",SP. ATº CIUTAT DE PALMA,670718.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670718&cod_acta=670718,Si
23,"CONSTANCIA ""A""","ANDRATX ""A""",670719.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670719&cod_acta=670719,Si
23,"PLATGES DE CALVIA ""A""","MANACOR ""A""",670720.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670720&cod_acta=670720,Si
23,"PENYA CIUTADELLA ESPORTIVA ""A""","U D IBIZA ""A""",670721.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670721&cod_acta=670721,Si
24,"PENYA ARRABAL ""A""","FERRERIES ""A""",670722.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670722&cod_acta=670722,Si
